Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,LBH,LBA,LBD,WHH,WHA,WHD
20130223,QPR,Man United,0,2,A,6.0,1.5,4.33,7.0,1.57,3.5
20130223,Reading,Wigan,0,3,A,2.37,2.9,3.4,2.62,2.8,3.1
20130223,West Brom,Sunderland,2,1,H,2.05,3.5,3.4,2.05,3.75,3.2
20130224,Man City,Chelsea,2,0,H,2.0,3.6,3.5,1.95,4.33,3.1
20130224,Newcastle,Southampton,4,2,H,2.0,3.75,3.4,2.2,3.5,3.1
20130225,West Ham,Tottenham,2,3,A,3.2,2.0,3.4,3.5,2.2,3.1
20130302,Chelsea,West Brom,1,0,H,1.4,8.0,4.5,1.44,8.0,4.0
20130302,Everton,Reading,3,1,H,1.4,8.0,4.5,1.4,8.0,4.5
20130302,Man United,Norwich,4,0,H,1.3,9.0,5.5,1.36,10.0,4.33
20130302,Southampton,QPR,1,2,A,1.9,4.0,3.4,1.85,4.5,3.3
20130302,Stoke,West Ham,0,1,A,2.1,3.5,3.3,2.1,3.5,3.3
20130302,Sunderland,Fulham,2,2,D,2.2,3.25,3.3,2.4,3.1,3.1
20130302,Swansea,Newcastle,1,0,H,2.15,3.25,3.4,2.1,3.3,3.5
20130302,Wigan,Liverpool,0,4,A,4.5,1.8,3.5,4.5,1.83,3.4
20130303,Tottenham,Arsenal,2,1,H,2.25,3.0,3.4,2.3,3.0,3.4
20130304,Aston Villa,Man City,0,1,A,5.5,1.53,4.33,6.0,1.5,4.33
20130309,Norwich,Southampton,0,0,D,2.25,3.1,3.4,2.5,2.9,3.1
20130309,QPR,Sunderland,3,1,H,2.25,3.2,3.25,2.3,3.3,3.1
20130309,Reading,Aston Villa,1,2,A,2.3,3.1,3.3,2.5,2.9,3.1
20130309,West Brom,Swansea,2,1,H,2.2,3.2,3.4,2.4,3.1,3.1
20130310,Liverpool,Tottenham,3,2,H,1.9,3.75,3.6,1.95,4.0,3.3
20130310,Newcastle,Stoke,2,1,H,1.85,4.2,3.5,1.83,5.0,3.1
20130316,Aston Villa,QPR,3,2,H,2.25,3.1,3.4,2.3,3.2,3.1
20130316,Everton,Man City,2,0,H,3.5,2.05,3.4,3.75,2.1,3.1
20130316,Man United,Reading,1,0,H,1.16,15.0,7.5,1.18,12.0,7.5
20130316,Southampton,Liverpool,3,1,H,4.0,1.85,3.6,4.0,1.95,3.3
20130316,Stoke,West Brom,0,0,D,2.37,3.0,3.25,2.5,2.9,3.1
20130316,Swansea,Arsenal,0,2,A,3.1,2.2,3.5,3.4,2.25,3.1
20130317,Chelsea,West Ham,2,0,H,1.4,8.0,4.5,1.4,10.0,4.0
20130317,Sunderland,Norwich,1,1,D,2.05,3.6,3.4,2.1,3.75,3.1
20130317,Tottenham,Fulham,0,1,A,1.53,6.0,4.2,1.53,7.5,3.6
20130317,Wigan,Newcastle,2,1,H,2.25,3.1,3.4,2.38,3.1,3.1
20130330,Arsenal,Reading,4,1,H,1.25,10.0,6.0,1.25,12.0,5.5
20130330,Everton,Stoke,1,0,H,1.53,6.0,4.0,1.57,7.0,3.5
20130330,Man City,Newcastle,4,0,H,1.28,10.0,5.5,1.33,10.0,4.8
20130330,Southampton,Chelsea,2,1,H,3.75,1.9,3.6,3.5,2.2,3.1
20130330,Sunderland,Man United,0,1,A,5.5,1.6,3.8,6.0,1.67,3.3
20130330,Swansea,Tottenham,1,2,A,3.2,2.2,3.4,3.1,2.38,3.1
20130330,West Ham,West Brom,3,1,H,2.3,3.1,3.3,2.3,3.2,3.2
20130330,Wigan,Norwich,1,0,H,1.9,4.0,3.4,1.95,4.2,3.2
20130331,Aston Villa,Liverpool,1,2,A,4.33,1.8,3.6,4.8,1.75,3.5
20130401,Fulham,QPR,3,2,H,1.95,3.75,3.5,2.0,4.0,3.2
20130406,Norwich,Swansea,2,2,D,2.5,2.8,3.2,2.7,2.7,3.1
20130406,Reading,Southampton,0,2,A,3.0,2.25,3.5,3.3,2.25,3.2
20130406,Stoke,Aston Villa,1,3,A,2.1,3.5,3.3,2.15,3.5,3.2
20130406,West Brom,Arsenal,1,2,A,4.0,1.9,3.5,4.0,1.95,3.3
